cash_request_id_main,user_id,cohort,cash_request_amount,cash_request_status,cash_request_id,type,fee_status,fee_amount,charge_moment
566,2900,202001,100,rejected,0,0,,,
567,2966,202001,100,rejected,0,0,,,
569,3017,202001,100,rejected,0,0,,,
573,1581,202001,100,rejected,0,0,,,
574,3060,202001,100,rejected,0,0,,,
1350,2295,202004,100,rejected,0,0,,,
1670,7379,202005,100,rejected,0,0,,,
1201,5081,202004,100,rejected,0,0,,,
1373,3226,202004,100,rejected,0,0,,,
822,1795,202003,100,rejected,0,0,,,
20108,63894,202010,100,money_back,20108,instant_payment,accepted,5,after
20108,63894,202010,100,money_back,20108,postpone,cancelled,5,after
995,2852,202003,100,rejected,0,0,,,
1523,8257,202005,100,rejected,0,0,,,
578,1753,202001,100,rejected,0,0,,,
3582,15821,202006,60,rejected,0,0,,,
1110,4833,202004,100,rejected,0,0,,,
750,2481,202002,50,rejected,0,0,,,
1160,5784,202004,100,rejected,0,0,,,
5554,14248,202006,100,rejected,0,0,,,
2243,3377,202005,70,rejected,0,0,,,
1580,4982,202005,100,rejected,0,0,,,
1216,3032,202004,100,rejected,0,0,,,
1390,2993,202004,100,money_back,0,0,,,
1282,5699,202004,100,rejected,0,0,,,
1081,5290,202004,100,rejected,0,0,,,
1300,5620,202004,100,rejected,0,0,,,
623,865,202002,100,rejected,0,0,,,
630,1892,202002,100,rejected,0,0,,,
8595,5786,202007,100,rejected,0,0,,,
1351,3324,202004,100,rejected,0,0,,,
1374,3948,202004,100,rejected,0,0,,,
662,1304,202002,100,rejected,0,0,,,
2364,11499,202005,100,money_back,0,0,,,
1248,4685,202004,100,rejected,0,0,,,
1167,6345,202004,100,rejected,0,0,,,
1617,5290,202005,100,rejected,0,0,,,
972,1658,202003,100,rejected,0,0,,,
967,1257,202003,100,rejected,0,0,,,
2071,1273,202005,100,rejected,0,0,,,
2123,9320,202005,100,money_back,0,0,,,
1448,6509,202004,100,rejected,0,0,,,
2251,9870,202005,100,rejected,0,0,,,
1589,7480,202005,100,rejected,0,0,,,
1293,231,202004,100,rejected,0,0,,,
1111,2607,202004,100,rejected,0,0,,,
823,4314,202003,100,money_back,0,0,,,
1490,8341,202004,100,rejected,0,0,,,
1533,8854,202005,100,rejected,0,0,,,
631,1396,202002,100,rejected,0,0,,,
831,2197,202003,100,rejected,0,0,,,
1283,3024,202004,100,rejected,0,0,,,
987,3377,202003,100,rejected,0,0,,,
2302,11288,202005,100,money_back,0,0,,,
1218,47,202004,100,money_back,0,0,,,
800,1774,202003,100,rejected,0,0,,,
5716,18155,202006,40,rejected,0,0,,,
1400,7318,202004,50,money_back,0,0,,,
1903,9290,202005,100,rejected,0,0,,,
1424,4797,202004,100,money_back,0,0,,,
751,3285,202002,100,rejected,0,0,,,
2242,1273,202005,100,rejected,0,0,,,
1677,4912,202005,100,rejected,0,0,,,
1695,8638,202005,50,rejected,0,0,,,
1731,8908,202005,100,rejected,0,0,,,
1546,7419,202005,90,rejected,0,0,,,
1410,528,202004,80,money_back,0,0,,,
1524,8545,202005,100,money_back,0,0,,,
4184,13868,202006,100,rejected,0,0,,,
1640,2738,202005,100,money_back,0,0,,,
1544,2295,202005,100,rejected,0,0,,,
1753,2739,202005,70,rejected,0,0,,,
1140,5104,202004,200,rejected,0,0,,,
788,939,202003,100,rejected,0,0,,,
3091,4884,202006,100,rejected,0,0,,,
4824,14920,202006,85,rejected,0,0,,,
1146,2613,202004,100,rejected,0,0,,,
1125,682,202004,100,money_back,0,0,,,
1459,8336,202004,100,rejected,0,0,,,
2054,7869,202005,100,rejected,0,0,,,
1553,8835,202005,100,rejected,0,0,,,
7342,23946,202007,100,rejected,0,0,,,
2222,9556,202005,100,money_back,0,0,,,
1680,4844,202005,100,money_back,0,0,,,
1561,6918,202005,100,rejected,0,0,,,
1429,7808,202004,100,money_back,0,0,,,
1716,8564,202005,70,money_back,0,0,,,
1951,3381,202005,100,money_back,0,0,,,
2368,9748,202005,100,money_back,0,0,,,
20112,10116,202010,100,money_back,20112,instant_payment,accepted,5,after
13953,36166,202008,50,rejected,0,0,,,
2015,3032,202005,100,money_back,0,0,,,
1113,6058,202004,100,money_back,0,0,,,
6744,19722,202007,100,active,6744,postpone,cancelled,5,after
6744,19722,202007,100,active,6744,incident,rejected,5,after
6784,22968,202007,100,rejected,0,0,,,
1169,6623,202004,100,rejected,0,0,,,
1297,7079,202004,100,rejected,0,0,,,
1710,2398,202005,100,rejected,0,0,,,
1745,4982,202005,100,rejected,0,0,,,
1132,781,202004,100,rejected,0,0,,,
1006,1658,202003,100,rejected,0,0,,,
1513,4685,202005,50,rejected,0,0,,,
982,860,202003,40,money_back,0,0,,,
979,4205,202003,100,rejected,0,0,,,
1142,5594,202004,50,money_back,0,0,,,
1204,2152,202004,100,money_back,0,0,,,
5503,397,202006,100,rejected,0,0,,,
1148,5392,202004,100,rejected,0,0,,,
1691,5230,202005,100,money_back,0,0,,,
2307,10978,202005,100,money_back,0,0,,,
1537,5291,202005,100,money_back,0,0,,,
2204,6286,202005,100,rejected,0,0,,,
3586,15483,202006,100,rejected,0,0,,,
1472,2633,202004,100,rejected,0,0,,,
1324,3255,202004,100,money_back,0,0,,,
1486,4638,202004,100,rejected,0,0,,,
2081,3439,202005,100,money_back,0,0,,,
236,597,201912,50,money_back,0,0,,,
2098,8489,202005,100,rejected,0,0,,,
1571,8564,202005,50,rejected,0,0,,,
1085,3162,202004,100,rejected,0,0,,,
1280,6846,202004,100,rejected,0,0,,,
1637,5284,202005,100,rejected,0,0,,,
1687,4685,202005,100,rejected,0,0,,,
1114,5713,202004,100,rejected,0,0,,,
1582,2739,202005,100,rejected,0,0,,,
705,1227,202002,100,money_back,0,0,,,
969,4549,202003,100,rejected,0,0,,,
1573,5807,202005,100,rejected,0,0,,,
1308,6912,202004,100,rejected,0,0,,,
1768,7088,202005,100,money_back,0,0,,,
1302,34,202004,100,rejected,0,0,,,
1130,6290,202004,100,money_back,0,0,,,
1735,8908,202005,100,rejected,0,0,,,
2510,8157,202006,50,money_back,0,0,,,
2153,3628,202005,100,money_back,0,0,,,
1377,6166,202004,100,money_back,0,0,,,
3404,14484,202006,100,direct_debit_rejected,3404,postpone,cancelled,5,after
3404,14484,202006,100,direct_debit_rejected,3404,incident,cancelled,5,after
